,0
0,MelodicInterval.Octave
1,MelodicInterval.Octave
2,MelodicInterval.MinorThird
3,MelodicInterval.Octave
4,MelodicInterval.PerfectFifth
5,MelodicInterval.PerfectFourth
6,MelodicInterval.MinorThird
7,MelodicInterval.Octave
8,MelodicInterval.MinorSixth
9,MelodicInterval.MinorSeventh
10,MelodicInterval.Octave
11,MelodicInterval.MajorThird
12,MelodicInterval.PerfectFifth
