,BassTenor,BassAlto,BassSoprano,TenorAlto,TenorSoprano,AltoSoprano
36,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
37,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
38,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
39,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
40,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
41,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
42,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
43,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
44,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
45,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
46,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
47,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
48,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
49,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
50,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
51,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
52,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
53,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
54,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
55,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
56,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
57,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
58,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
59,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
60,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
61,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
62,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
63,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
64,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
65,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
66,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
67,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
68,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
69,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
70,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
71,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
72,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
73,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
74,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
75,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
76,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
77,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
78,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
79,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
80,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
81,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
82,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
83,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
84,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
85,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
86,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
87,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
88,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
89,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
90,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
91,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
92,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
93,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
94,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
95,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
96,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
97,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
98,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
99,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
100,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
101,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
102,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
103,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
104,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
105,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
106,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
107,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
108,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
109,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
110,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
111,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
112,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
113,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
114,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
115,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
116,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
117,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
118,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
119,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
120,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
121,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
122,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
123,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
124,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
125,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
126,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
127,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
128,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
129,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
130,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
131,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
132,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
133,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
134,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
135,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
136,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
137,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
138,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
139,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
140,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
141,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
142,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
143,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
144,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
145,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
146,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
147,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
148,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
149,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
150,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
151,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
152,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
153,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
154,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
155,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
156,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
157,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
158,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
159,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
160,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths,No parallel 5ths or 8ths
